cell line,percentage tumor area,set
BF2117,64.80364,1
BF2153,75.60214,1
BF1987,32.37977,1
BF857,56.74178,1
0688M,61.69173,1
0764P,44.25491,1
0755P,78.56519,1
0755A,83.73058,1
2838c3,73.90825,1
7160c2,77.67467,1
7160c5,59.53578,1
6421c2,72.04813,1
6422c5,65.22968,1
6499c4,65.4432,1
6419c5,53.3278,1
KPC960,18.68052,1
KPC961,6.712214,1
BF2014,60.20047,2
BF1836,54.99506,2
BF5960,77.35787,2
BF4326,1.862646,2
KPC-JH,27.16891,2
Panc02,0.9501972,2
mT5-2D,13.89394,2
mT3-2D,11.20027,2
FC1242,24.88144,2
FC1199,17.95503,2
FC1245,22.93141,2
