sample id,experiment,"time point, d",injection method,tissue,genotype,eartag (in vivo) / passage (in vitro),initial number of cells,"lung weight, g (in vivo) / cells (in vitro)",spike-in added,notes
SK1_64,in vitro,3,,,,1,2000000,11200000,FALSE,started from pre-injection samples used in experiment 1
SK1_65,in vitro,3,,,,2,2000000,13900000,FALSE,started from pre-injection samples used in experiment 1
SK1_66,in vitro,3,,,,3,2000000,9750000,FALSE,started from pre-injection samples used in experiment 1
SK1_67,in vitro,6,,,,1,2000000,21900000,FALSE,started from pre-injection samples used in experiment 1
SK1_68,in vitro,6,,,,2,2000000,21200000,FALSE,started from pre-injection samples used in experiment 1
SK1_69,in vitro,6,,,,3,2000000,23600000,FALSE,started from pre-injection samples used in experiment 1
SK1_70,in vitro,9,,,,1,2000000,22000000,FALSE,started from pre-injection samples used in experiment 1
SK1_71,in vitro,9,,,,2,2000000,26700000,FALSE,started from pre-injection samples used in experiment 1
SK1_72,in vitro,9,,,,3,2000000,26400000,FALSE,started from pre-injection samples used in experiment 1
SK1_73,in vitro,12,,,,1,2000000,21900000,FALSE,started from pre-injection samples used in experiment 1
SK1_74,in vitro,12,,,,2,2000000,18600000,FALSE,started from pre-injection samples used in experiment 1
SK1_75,in vitro,12,,,,3,2000000,22400000,FALSE,started from pre-injection samples used in experiment 1
SK1_76,in vitro,15,,,,1,2000000,13800000,FALSE,started from pre-injection samples used in experiment 1
SK1_77,in vitro,15,,,,2,2000000,15600000,FALSE,started from pre-injection samples used in experiment 1
SK1_78,in vitro,15,,,,3,2000000,15100000,FALSE,started from pre-injection samples used in experiment 1
SK1_79,in vitro,17,,,,1,2000000,23900000,FALSE,started from pre-injection samples used in experiment 1
SK1_80,in vitro,17,,,,2,2000000,22100000,FALSE,started from pre-injection samples used in experiment 1
SK1_81,in vitro,17,,,,3,2000000,24900000,FALSE,started from pre-injection samples used in experiment 1
SK1_82,in vitro,20,,,,1,2000000,30400000,FALSE,started from pre-injection samples used in experiment 1
SK1_83,in vitro,20,,,,2,2000000,25800000,FALSE,started from pre-injection samples used in experiment 1
SK1_84,in vitro,20,,,,3,2000000,29400000,FALSE,started from pre-injection samples used in experiment 1
SK1_85,in vitro,23,,,,1,2000000,26400000,FALSE,started from pre-injection samples used in experiment 1
SK1_86,in vitro,23,,,,2,2000000,19900000,FALSE,started from pre-injection samples used in experiment 1
SK1_87,in vitro,23,,,,3,2000000,20300000,FALSE,started from pre-injection samples used in experiment 1
SK1_61,1,0,,,,1,2000000,,FALSE,none
SK1_62,1,0,,,,2,2000000,,FALSE,none
SK1_63,1,0,,,,3,2000000,,FALSE,none
LA72_SK10,2,0,,,,,2000000,,FALSE,none
SK1_51,1,2,intravenous,lung,C57B6/129S F1,SK1855,2000000,0.2184,TRUE,none
SK1_52,1,2,intravenous,lung,C57B6/129S F1,SK1856,2000000,0.2414,TRUE,none
SK1_53,1,2,intravenous,lung,C57B6/129S F1,SK1857,2000000,0.2717,TRUE,none
SK1_54,1,2,intravenous,lung,C57B6/129S F1,SK1858,2000000,0.224,TRUE,none
SK1_55,1,2,intravenous,lung,C57B6/129S F1,SK1859,2000000,0.224,TRUE,none
SK1_56,1,2,intravenous,lung,C57B6/129S F1,SK1860,2000000,0.2986,TRUE,none
SK1_57,1,2,intravenous,lung,C57B6/129S F1,SK1861,2000000,0.3125,TRUE,none
SK1_58,1,2,intravenous,lung,C57B6/129S F1,SK1862,2000000,0.3182,TRUE,"SK1_58:SK1_58_2 merged, one spike-in"
SK1_58_2,1,2,intravenous,lung,C57B6/129S F1,SK1862,2000000,0.3182,TRUE,"SK1_58:SK1_58_2 merged, one spike-in"
SK1_59,1,2,intravenous,lung,C57B6/129S F1,SK1863,2000000,0.3733,TRUE,"SK1_59:SK1_59_2 merged, one spike-in"
SK1_59_2,1,2,intravenous,lung,C57B6/129S F1,SK1863,2000000,0.3733,TRUE,"SK1_59:SK1_59_2 merged, one spike-in"
SK1_60,1,2,intravenous,lung,C57B6/129S F1,SK1864,2000000,0.3865,TRUE,"SK1_60:SK1_60_2 merged, one spike-in"
SK1_60_2,1,2,intravenous,lung,C57B6/129S F1,SK1864,2000000,0.3865,TRUE,"SK1_60:SK1_60_2 merged, one spike-in"
SK1_45,1,2,intravenous,lung,Rag1-/-,MT2284,2000000,0.091,TRUE,"SK1_45:SK1_46 merged, separate spike-ins"
SK1_46,1,2,intravenous,lung,Rag1-/-,MT2284,2000000,0.1115,TRUE,"SK1_45:SK1_46 merged, separate spike-ins"
SK1_47,1,2,intravenous,lung,Rag1-/-,CM3700,2000000,0.102,TRUE,"SK1_47:SK1_48 merged, separate spike-ins"
SK1_48,1,2,intravenous,lung,Rag1-/-,CM3700,2000000,0.079,TRUE,"SK1_47:SK1_48 merged, separate spike-ins"
SK1_49,1,2,intravenous,lung,Rag1-/-,CM3703,2000000,0.0954,TRUE,"SK1_49:SK1_50 merged, separate spike-ins"
SK1_50,1,2,intravenous,lung,Rag1-/-,CM3703,2000000,0.07,TRUE,"SK1_49:SK1_50 merged, separate spike-ins"
SK1_25,1,22,intravenous,lung,C57B6/129S F1,SK1865,200000,0.428,TRUE,"SK1_25:SK1_88:SK1_89 merged, one spike-in"
SK1_26,1,22,intravenous,lung,C57B6/129S F1,SK1866,200000,0.304,TRUE,none
SK1_27,1,22,intravenous,lung,C57B6/129S F1,SK1867,200000,0.305,TRUE,none
SK1_28,1,22,intravenous,lung,C57B6/129S F1,SK1868,200000,0.298,TRUE,none
SK1_29,1,22,intravenous,lung,C57B6/129S F1,SK1869,200000,0.292,TRUE,"SK1_29:SK1_92:SK1_93 merged, one spike-in"
SK1_30,1,22,intravenous,lung,C57B6/129S F1,SK1870,200000,0.24,TRUE,none
SK1_31,1,22,intravenous,lung,C57B6/129S F1,SK1871,200000,0.378,TRUE,none
SK1_32,1,22,intravenous,lung,C57B6/129S F1,SK1872,200000,0.334,TRUE,none
SK1_33,1,22,intravenous,lung,C57B6/129S F1,SK1873,200000,0.314,TRUE,none
SK1_34,1,22,intravenous,lung,C57B6/129S F1,SK1874,200000,0.56,TRUE,none
SK1_35,1,22,intravenous,lung,C57B6/129S F1,SK1875,200000,0.414,TRUE,none
SK1_36,1,22,intravenous,lung,C57B6/129S F1,SK1876,200000,0.36,TRUE,none
SK1_37,1,22,intravenous,lung,C57B6/129S F1,SK1877,200000,0.406,TRUE,none
SK1_38,1,22,intravenous,lung,C57B6/129S F1,SK1878,200000,0.219,TRUE,none
SK1_39,1,22,intravenous,lung,C57B6/129S F1,SK1879,200000,0.434,TRUE,"SK1_39:SK1_90:SK1_91 merged, one spike-in"
SK1_40,1,22,intravenous,lung,C57B6/129S F1,SK1880,200000,0.354,TRUE,none
SK1_41,1,22,intravenous,lung,C57B6/129S F1,SK1881,200000,0.276,TRUE,none
SK1_42,1,22,intravenous,lung,C57B6/129S F1,SK1882,200000,0.294,TRUE,none
SK1_43,1,22,intravenous,lung,C57B6/129S F1,SK1883,200000,0.313,TRUE,none
SK1_44,1,22,intravenous,lung,C57B6/129S F1,SK1884,200000,0.329,TRUE,none
SK1_88,1,22,intravenous,lung,C57B6/129S F1,SK1865,200000,0.428,TRUE,"SK1_25:SK1_88:SK1_89 merged, one spike-in"
SK1_89,1,22,intravenous,lung,C57B6/129S F1,SK1865,200000,0.428,TRUE,"SK1_25:SK1_88:SK1_89 merged, one spike-in"
SK1_90,1,22,intravenous,lung,C57B6/129S F1,SK1879,200000,0.434,TRUE,"SK1_39:SK1_90:SK1_91 merged, one spike-in"
SK1_91,1,22,intravenous,lung,C57B6/129S F1,SK1879,200000,0.434,TRUE,"SK1_39:SK1_90:SK1_91 merged, one spike-in"
SK1_92,1,22,intravenous,lung,C57B6/129S F1,SK1869,200000,0.292,TRUE,"SK1_29:SK1_92:SK1_93 merged, one spike-in"
SK1_93,1,22,intravenous,lung,C57B6/129S F1,SK1869,200000,0.292,TRUE,"SK1_29:SK1_92:SK1_93 merged, one spike-in"
LA67_1,1,22,intravenous,pancreas,C57B6/129S F1,SK1865,200000,,FALSE,none
LA67_2,1,22,intravenous,pancreas,C57B6/129S F1,SK1866,200000,,FALSE,none
LA67_3,1,22,intravenous,pancreas,C57B6/129S F1,SK1867,200000,,FALSE,none
